state,action,value
0,0,0.542703
0,1,0.563983
0,2,0.542703
0,3,0.563983
1,0,0.496040
1,1,0.571000
1,2,0.531669
1,3,0.585697
2,0,0.557293
2,1,0.607854
2,2,0.458669
2,3,0.587525
3,0,0.269184
3,1,0.451270
3,2,0.258980
3,3,0.630463
4,0,0.569707
4,1,0.653534
4,2,0.438445
4,3,0.571308
5,0,0.510984
5,1,0.677075
5,2,0.285603
5,3,0.410987
6,0,-0.035980
6,1,0.658909
6,2,-0.037210
6,3,0.000976
7,0,-0.003062
7,1,-0.033073
7,2,0.127100
7,3,-0.033134
8,0,-0.030746
8,1,-0.006848
8,2,-0.031431
8,3,-0.029826
9,0,-0.029541
9,1,-0.030179
9,2,-0.029789
9,3,-0.028980
10,0,0.542703
10,1,0.542703
10,2,0.563983
10,3,0.585697
11,0,0.563983
11,1,0.607854
11,2,0.563983
11,3,0.607854
12,0,0.585697
12,1,0.630463
12,2,0.585697
12,3,0.630463
13,0,0.607854
13,1,0.653534
13,2,0.607854
13,3,0.653534
14,0,0.630463
14,1,0.677075
14,2,0.630463
14,3,0.677075
15,0,0.653534
15,1,0.701097
15,2,0.653534
15,3,0.701097
16,0,0.329183
16,1,0.725609
16,2,0.386138
16,3,0.305176
17,0,-0.031514
17,1,0.619394
17,2,0.232553
17,3,-0.031031
18,0,-0.028785
18,1,0.095299
18,2,0.097331
18,3,-0.030833
19,0,-0.028801
19,1,-0.028914
19,2,-0.028346
19,3,-0.028925
20,0,0.563983
20,1,-0.052670
20,2,0.455792
20,3,0.408944
21,0,0.477604
21,1,0.095133
21,2,0.235622
21,3,0.630463
22,0,0.551112
22,1,0.540859
22,2,0.571118
22,3,0.653534
23,0,0.624229
23,1,0.677075
23,2,0.608019
23,3,0.552458
24,0,0.615424
24,1,0.646115
24,2,0.556989
24,3,0.701097
25,0,0.677075
25,1,0.725609
25,2,0.677075
25,3,0.725609
26,0,0.679381
26,1,0.750622
26,2,0.555524
26,3,0.734517
27,0,0.165170
27,1,0.776145
27,2,0.473134
27,3,0.334487
28,0,-0.027125
28,1,0.701569
28,2,0.432598
28,3,-0.026001
29,0,-0.028557
29,1,-0.022148
29,2,0.103586
29,3,-0.023479
